2 qid:1 1:0.0 2:0.0015384615384615385 3:0.0 4:0.009230769230769232 5:0.0 6:0.0 7:0.0 8:0.009230769230769232 9:0.0 10:0.0 11:0.0 12:0.021538461538461538 13:0.0015384615384615385 14:0.004615384615384616 15:0.003076923076923077 16:0.9492307692307692 
1 qid:1 1:0.0 2:0.0015384615384615385 3:0.0 4:0.009230769230769232 5:0.0 6:0.0 7:0.0 8:0.009230769230769232 9:0.0 10:0.0 11:0.0 12:0.021538461538461538 13:0.0015384615384615385 14:0.004615384615384616 15:0.003076923076923077 16:0.9492307692307692 
2 qid:2 1:0.0 2:0.0015384615384615385 3:0.0 4:0.009230769230769232 5:0.0 6:0.0 7:0.0 8:0.009230769230769232 9:0.0 10:0.0 11:0.0 12:0.021538461538461538 13:0.0015384615384615385 14:0.004615384615384616 15:0.003076923076923077 16:0.9492307692307692 
1 qid:2 1:0.0 2:0.0 3:0.0 4:0.010769230769230769 5:0.0015384615384615385 6:0.0 7:0.0 8:0.007692307692307693 9:0.0 10:0.0 11:0.0 12:0.021538461538461538 13:0.007692307692307693 14:0.003076923076923077 15:0.018461538461538463 16:0.9292307692307692 
2 qid:3 1:0.0022522522522522522 2:0.0 3:0.0 4:0.005255255255255256 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.006006006006006006 15:0.015765765765765764 16:0.93993993993994 
1 qid:3 1:0.0015015015015015015 2:0.0 3:0.0 4:0.006006006006006006 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0007507507507507507 10:0.0 11:0.0 12:0.018018018018018018 13:0.0045045045045045045 14:0.006006006006006006 15:0.014264264264264264 16:0.9421921921921922 
2 qid:4 1:0.0022522522522522522 2:0.0 3:0.0 4:0.005255255255255256 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.006006006006006006 15:0.015765765765765764 16:0.93993993993994 
1 qid:4 1:0.0 2:0.0 3:0.0007507507507507507 4:0.006756756756756757 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0007507507507507507 10:0.0 11:0.0 12:0.018018018018018018 13:0.005255255255255256 14:0.005255255255255256 15:0.014264264264264264 16:0.9421921921921922 
2 qid:5 1:0.0022522522522522522 2:0.0 3:0.0 4:0.005255255255255256 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.006006006006006006 15:0.015765765765765764 16:0.93993993993994 
1 qid:5 1:0.0015015015015015015 2:0.0 3:0.0 4:0.006006006006006006 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.006006006006006006 14:0.006006006006006006 15:0.015765765765765764 16:0.9391891891891891 
2 qid:6 1:0.0022522522522522522 2:0.0 3:0.0 4:0.005255255255255256 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.006006006006006006 15:0.015765765765765764 16:0.93993993993994 
1 qid:6 1:0.0015015015015015015 2:0.0 3:0.0 4:0.006006006006006006 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0007507507507507507 12:0.018018018018018018 13:0.005255255255255256 14:0.006756756756756757 15:0.018018018018018018 16:0.9369369369369369 
2 qid:7 1:0.0022522522522522522 2:0.0 3:0.0 4:0.005255255255255256 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.006006006006006006 15:0.015765765765765764 16:0.93993993993994 
1 qid:7 1:0.0007507507507507507 2:0.0 3:0.0 4:0.006756756756756757 5:0.0 6:0.0 7:0.0007507507507507507 8:0.006006006006006006 9:0.0007507507507507507 10:0.0 11:0.0007507507507507507 12:0.017267267267267267 13:0.006006006006006006 14:0.006006006006006006 15:0.014264264264264264 16:0.9406906906906907 
2 qid:8 1:0.0022522522522522522 2:0.0 3:0.0 4:0.005255255255255256 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.006006006006006006 15:0.015765765765765764 16:0.93993993993994 
1 qid:8 1:0.0015015015015015015 2:0.0 3:0.0 4:0.006006006006006006 5:0.0 6:0.0 7:0.0007507507507507507 8:0.006006006006006006 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.006006006006006006 14:0.006006006006006006 15:0.015015015015015015 16:0.93993993993994 
2 qid:9 1:0.0022522522522522522 2:0.0 3:0.0 4:0.005255255255255256 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.006006006006006006 15:0.015765765765765764 16:0.93993993993994 
1 qid:9 1:0.0007507507507507507 2:0.0 3:0.0007507507507507507 4:0.006006006006006006 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0007507507507507507 10:0.0 11:0.0 12:0.018018018018018018 13:0.006006006006006006 14:0.006006006006006006 15:0.015015015015015015 16:0.93993993993994 
2 qid:10 1:0.0022522522522522522 2:0.0 3:0.0 4:0.005255255255255256 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.006006006006006006 15:0.015765765765765764 16:0.93993993993994 
1 qid:10 1:0.0007507507507507507 2:0.0 3:0.0007507507507507507 4:0.006006006006006006 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0007507507507507507 10:0.0 11:0.0007507507507507507 12:0.017267267267267267 13:0.0045045045045045045 14:0.005255255255255256 15:0.013513513513513514 16:0.9436936936936937 
2 qid:11 1:0.0022522522522522522 2:0.0 3:0.0 4:0.005255255255255256 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.006006006006006006 15:0.015765765765765764 16:0.93993993993994 
1 qid:11 1:0.0007507507507507507 2:0.0 3:0.0007507507507507507 4:0.006006006006006006 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0007507507507507507 10:0.0 11:0.0007507507507507507 12:0.017267267267267267 13:0.0037537537537537537 14:0.005255255255255256 15:0.014264264264264264 16:0.9436936936936937 
2 qid:12 1:0.0022522522522522522 2:0.0 3:0.0 4:0.005255255255255256 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.006006006006006006 15:0.015765765765765764 16:0.93993993993994 
1 qid:12 1:0.0007507507507507507 2:0.0 3:0.0007507507507507507 4:0.006006006006006006 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0007507507507507507 10:0.0 11:0.0 12:0.018018018018018018 13:0.005255255255255256 14:0.006756756756756757 15:0.018018018018018018 16:0.9369369369369369 
2 qid:13 1:0.0022522522522522522 2:0.0 3:0.0 4:0.005255255255255256 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.006006006006006006 15:0.015765765765765764 16:0.93993993993994 
1 qid:13 1:0.0015015015015015015 2:0.0 3:0.0007507507507507507 4:0.005255255255255256 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.006006006006006006 15:0.015765765765765764 16:0.93993993993994 
2 qid:14 1:0.0022522522522522522 2:0.0 3:0.0 4:0.005255255255255256 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.006006006006006006 15:0.015765765765765764 16:0.93993993993994 
1 qid:14 1:0.0 2:0.0 3:0.0 4:0.0075075075075075074 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0007507507507507507 12:0.018018018018018018 13:0.006756756756756757 14:0.005255255255255256 15:0.017267267267267267 16:0.9376876876876877 
2 qid:15 1:0.0022522522522522522 2:0.0 3:0.0 4:0.005255255255255256 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.006006006006006006 15:0.015765765765765764 16:0.93993993993994 
1 qid:15 1:0.0007507507507507507 2:0.0 3:0.0007507507507507507 4:0.006006006006006006 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0007507507507507507 12:0.018018018018018018 13:0.0045045045045045045 14:0.005255255255255256 15:0.014264264264264264 16:0.9429429429429429 
2 qid:16 1:0.0022522522522522522 2:0.0 3:0.0 4:0.005255255255255256 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.006006006006006006 15:0.015765765765765764 16:0.93993993993994 
1 qid:16 1:0.0007507507507507507 2:0.0 3:0.0007507507507507507 4:0.006006006006006006 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.006006006006006006 14:0.006756756756756757 15:0.018018018018018018 16:0.9361861861861862 
2 qid:17 1:0.0022522522522522522 2:0.0 3:0.0 4:0.005255255255255256 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.006006006006006006 15:0.015765765765765764 16:0.93993993993994 
1 qid:17 1:0.0015015015015015015 2:0.0 3:0.0007507507507507507 4:0.005255255255255256 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.005255255255255256 15:0.017267267267267267 16:0.9391891891891891 
2 qid:18 1:0.0022522522522522522 2:0.0 3:0.0 4:0.005255255255255256 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.006006006006006006 15:0.015765765765765764 16:0.93993993993994 
1 qid:18 1:0.0 2:0.0 3:0.0007507507507507507 4:0.006756756756756757 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0015015015015015015 10:0.0 11:0.0 12:0.017267267267267267 13:0.005255255255255256 14:0.006756756756756757 15:0.018018018018018018 16:0.9369369369369369 
2 qid:19 1:0.0022522522522522522 2:0.0 3:0.0 4:0.005255255255255256 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.006006006006006006 15:0.015765765765765764 16:0.93993993993994 
1 qid:19 1:0.0007507507507507507 2:0.0 3:0.0007507507507507507 4:0.006006006006006006 5:0.0 6:0.0 7:0.0007507507507507507 8:0.006006006006006006 9:0.0007507507507507507 10:0.0 11:0.0 12:0.018018018018018018 13:0.006006006006006006 14:0.006006006006006006 15:0.014264264264264264 16:0.9406906906906907 
2 qid:20 1:0.0022522522522522522 2:0.0 3:0.0 4:0.005255255255255256 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.006006006006006006 15:0.015765765765765764 16:0.93993993993994 
1 qid:20 1:0.0007507507507507507 2:0.0 3:0.0 4:0.006756756756756757 5:0.0 6:0.0 7:0.0007507507507507507 8:0.006006006006006006 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.005255255255255256 15:0.014264264264264264 16:0.9421921921921922 
2 qid:21 1:0.0022522522522522522 2:0.0 3:0.0 4:0.005255255255255256 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.006006006006006006 15:0.015765765765765764 16:0.93993993993994 
1 qid:21 1:0.0007507507507507507 2:0.0 3:0.0 4:0.006756756756756757 5:0.0 6:0.0 7:0.0007507507507507507 8:0.006006006006006006 9:0.0007507507507507507 10:0.0 11:0.0 12:0.018018018018018018 13:0.005255255255255256 14:0.006006006006006006 15:0.015765765765765764 16:0.93993993993994 
2 qid:22 1:0.0022522522522522522 2:0.0 3:0.0 4:0.005255255255255256 5:0.0 6:0.0 7:0.0 8:0.006756756756756757 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.006006006006006006 15:0.015765765765765764 16:0.93993993993994 
1 qid:22 1:0.0015015015015015015 2:0.0 3:0.0007507507507507507 4:0.005255255255255256 5:0.0 6:0.0 7:0.0007507507507507507 8:0.006006006006006006 9:0.0 10:0.0 11:0.0 12:0.01876876876876877 13:0.005255255255255256 14:0.006006006006006006 15:0.015015015015015015 16:0.9406906906906907 
2 qid:23 1:0.0 2:0.0 3:0.0013227513227513227 4:0.009259259259259259 5:0.0 6:0.0013227513227513227 7:0.0013227513227513227 8:0.007936507936507936 9:0.0013227513227513227 10:0.0 11:0.0013227513227513227 12:0.02513227513227513 13:0.007936507936507936 14:0.006613756613756613 15:0.018518518518518517 16:0.917989417989418 
1 qid:23 1:0.0 2:0.0 3:0.0 4:0.010582010582010581 5:0.0 6:0.0 7:0.0013227513227513227 8:0.009259259259259259 9:0.0 10:0.0013227513227513227 11:0.0013227513227513227 12:0.02513227513227513 13:0.009259259259259259 14:0.006613756613756613 15:0.01984126984126984 16:0.9153439153439153 
2 qid:24 1:0.0 2:0.0 3:0.0013227513227513227 4:0.009259259259259259 5:0.0 6:0.0013227513227513227 7:0.0013227513227513227 8:0.007936507936507936 9:0.0013227513227513227 10:0.0 11:0.0013227513227513227 12:0.02513227513227513 13:0.007936507936507936 14:0.006613756613756613 15:0.018518518518518517 16:0.917989417989418 
1 qid:24 1:0.0 2:0.0 3:0.0013227513227513227 4:0.009259259259259259 5:0.0 6:0.0 7:0.0013227513227513227 8:0.009259259259259259 9:0.0 10:0.0 11:0.0 12:0.027777777777777776 13:0.009259259259259259 14:0.007936507936507936 15:0.01984126984126984 16:0.9140211640211641 
2 qid:25 1:0.0 2:0.0 3:0.0013227513227513227 4:0.009259259259259259 5:0.0 6:0.0013227513227513227 7:0.0013227513227513227 8:0.007936507936507936 9:0.0013227513227513227 10:0.0 11:0.0013227513227513227 12:0.02513227513227513 13:0.007936507936507936 14:0.006613756613756613 15:0.018518518518518517 16:0.917989417989418 
1 qid:25 1:0.0 2:0.0 3:0.0013227513227513227 4:0.009259259259259259 5:0.0 6:0.0013227513227513227 7:0.0013227513227513227 8:0.007936507936507936 9:0.0 10:0.0 11:0.0026455026455026454 12:0.02513227513227513 13:0.009259259259259259 14:0.007936507936507936 15:0.018518518518518517 16:0.9153439153439153 
2 qid:26 1:0.0 2:0.0 3:0.0013227513227513227 4:0.009259259259259259 5:0.0 6:0.0013227513227513227 7:0.0013227513227513227 8:0.007936507936507936 9:0.0013227513227513227 10:0.0 11:0.0013227513227513227 12:0.02513227513227513 13:0.007936507936507936 14:0.006613756613756613 15:0.018518518518518517 16:0.917989417989418 
1 qid:26 1:0.0 2:0.0 3:0.0013227513227513227 4:0.009259259259259259 5:0.0 6:0.0013227513227513227 7:0.0 8:0.009259259259259259 9:0.0 10:0.0 11:0.0013227513227513227 12:0.026455026455026454 13:0.007936507936507936 14:0.007936507936507936 15:0.022486772486772486 16:0.9126984126984127 
